Order ID,Date,Product,Category,Price,Age,Provence,Customer ID,Quantity
0,2022-08-10,LINNMON / GODVIN,Tables & desks,376.0,35,Vlaams-Brabant,509,9
0,2022-08-10,LÖVBACKEN,Tables & desks,299.0,35,Vlaams-Brabant,509,2
1,2022-06-10,GAMLEHULT,Sofas & armchairs,325.0,67,Oost-Vlaanderen,256,8
1,2022-06-10,KALLAX,Room dividers,895.0,67,Oost-Vlaanderen,256,8
2,2022-04-30,POÄNG,Sofas & armchairs,250.0,21,Luik,486,2
2,2022-04-30,BILLY / OXBERG,Cabinets & cupboards,1370.0,21,Luik,486,7
2,2022-04-30,HAVSTA,Tables & desks,495.0,21,Luik,486,4
3,2022-12-09,EKENÄS,Sofas & armchairs,395.0,63,Oost-Vlaanderen,38,4
3,2022-12-09,PAX,Wardrobes,2265.0,63,Oost-Vlaanderen,38,5
3,2022-12-09,BILLY / OXBERG,Cabinets & cupboards,195.0,63,Oost-Vlaanderen,38,2
3,2022-12-09,BEKANT,Tables & desks,1834.0,63,Oost-Vlaanderen,38,10
4,2022-03-14,GRYTTBY,Sofas & armchairs,206.5,93,West-Vlaanderen,823,3
5,2022-12-05,BESTÅ / EKET,Bookcases & shelving units,1719.0,21,West-Vlaanderen,300,3
5,2022-12-05,BILLY,Bookcases & shelving units,285.0,21,West-Vlaanderen,300,8
6,2022-12-22,IVAR,Bookcases & shelving units,570.0,62,Waals-Brabant,588,9
6,2022-12-22,VÄDRA,Nursery furniture,95.0,62,Waals-Brabant,588,8
6,2022-12-22,ENERYDA,Bookcases & shelving units,35.0,62,Waals-Brabant,588,8
6,2022-12-22,TROFAST,Nursery furniture,475.0,62,Waals-Brabant,588,4
7,2023-02-06,ASKEBY,Sofas & armchairs,995.0,18,Antwerpen,301,6
7,2023-02-06,BILLY,Bookcases & shelving units,370.0,18,Antwerpen,301,3
8,2022-08-11,BROR,Bookcases & shelving units,1315.0,88,Henegouwen,544,3
8,2022-08-11,HISHULT,Cabinets & cupboards,17.0,88,Henegouwen,544,2
8,2022-08-11,NORDVIKEN / HENRIKSDAL,Tables & desks,2675.0,88,Henegouwen,544,1
8,2022-08-11,SANDARED,Sofas & armchairs,345.0,88,Henegouwen,544,4
8,2022-08-11,IVAR,Bookcases & shelving units,75.0,88,Henegouwen,544,6
9,2022-05-16,KALLAX,Bookcases & shelving units,115.0,18,Waals-Brabant,647,2
9,2022-05-16,LANGUR,Nursery furniture,50.0,18,Waals-Brabant,647,3
10,2022-04-23,KALLAX,Room dividers,745.0,28,West-Vlaanderen,926,2
10,2022-04-23,BERNHARD,Chairs,745.0,28,West-Vlaanderen,926,7
10,2022-04-23,BEKANT,Cabinets & cupboards,1389.0,28,West-Vlaanderen,926,6
11,2022-12-06,NORDLI,Chests of drawers & drawer units,580.0,70,Antwerpen,927,4
11,2022-12-06,GUBBARP,TV & media furniture,3.0,70,Antwerpen,927,4
11,2022-12-06,BJÄRRED,Cabinets & cupboards,49.0,70,Antwerpen,927,8
